delivery_id,order_date,hub_id,hub_side,delivery_area,delivery_slot,promised_delivery_hours,actual_delivery_hours,delivery_status,delivery_partner
20260223_1,2026-02-23,Thane_West_Hub,West,Naupada,Evening,27,27.6,Delivered,Partner_A
20260223_2,2026-02-23,Thane_West_Hub,West,Naupada,Afternoon,29,28.5,Delivered,Partner_A
20260223_3,2026-02-23,Thane_West_Hub,West,Naupada,Evening,30,33.3,Delivered,Partner_C
20260223_4,2026-02-23,Thane_West_Hub,West,Naupada,Evening,30,35.7,Delivered,Partner_B
20260223_5,2026-02-23,Thane_West_Hub,West,Naupada,Evening,28,28.7,Delivered,Partner_B
20260223_6,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,27,26.8,Delivered,Partner_C
20260223_7,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,29,30.7,Delivered,Partner_C
20260223_8,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Morning,30,29.9,Delivered,Partner_B
20260223_9,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Morning,28,27.0,Delivered,Partner_C
20260223_10,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Afternoon,28,28.7,Delivered,Partner_C
20260223_11,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Afternoon,30,30.3,Delivered,Partner_A
20260223_12,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Afternoon,30,31.9,Delivered,Partner_B
20260223_13,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Afternoon,29,29.2,Delivered,Partner_B
20260223_14,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,28,27.6,Delivered,Partner_A
20260223_15,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,29,30.0,Delivered,Partner_C
20260223_16,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Morning,30,29.7,Delivered,Partner_C
20260223_17,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,28,26.9,Delivered,Partner_B
20260223_18,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,28,26.5,Delivered,Partner_B
20260223_19,2026-02-23,Thane_West_Hub,West,Panchpakhadi,Evening,31,34.7,Delivered,Partner_A
20260223_20,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Evening,27,26.7,Delivered,Partner_B
20260223_21,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Evening,27,25.8,Delivered,Partner_C
20260223_22,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,28,28.6,Delivered,Partner_C
20260223_23,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Evening,29,31.5,Delivered,Partner_C
20260223_24,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,30,29.4,Delivered,Partner_C
20260223_25,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,30,28.5,Delivered,Partner_A
20260223_26,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,28,28.8,Delivered,Partner_B
20260223_27,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,31,29.8,Delivered,Partner_A
20260223_28,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,30,29.9,Delivered,Partner_B
20260223_29,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Afternoon,28,26.7,Delivered,Partner_B
20260223_30,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Afternoon,28,28.2,Delivered,Partner_B
20260223_31,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,29,28.4,Delivered,Partner_C
20260223_32,2026-02-23,Thane_West_Hub,West,Ram Maruti Road,Morning,27,27.7,Delivered,Partner_A
20260223_33,2026-02-23,Thane_West_Hub,West,Talaopali,Morning,29,31.5,Delivered,Partner_B
20260223_34,2026-02-23,Thane_West_Hub,West,Talaopali,Morning,31,31.1,Delivered,Partner_A
20260223_35,2026-02-23,Thane_West_Hub,West,Talaopali,Afternoon,31,32.3,Delivered,Partner_A
20260223_36,2026-02-23,Thane_West_Hub,West,Talaopali,Afternoon,28,26.9,Delivered,Partner_A
20260223_37,2026-02-23,Thane_West_Hub,West,Talaopali,Evening,28,28.1,Delivered,Partner_C
